1784417097399,unidb-fair-bench-bench-1,62.19%,206.7MiB / 15.6GiB
1784417097399,unidb-fair-bench-postgres-1,1.80%,25.85MiB / 15.6GiB
1784417100409,unidb-fair-bench-bench-1,58.98%,201.4MiB / 15.6GiB
1784417100409,unidb-fair-bench-postgres-1,0.00%,25.81MiB / 15.6GiB
1784417103504,unidb-fair-bench-bench-1,60.81%,202.4MiB / 15.6GiB
1784417103504,unidb-fair-bench-postgres-1,1.79%,25.75MiB / 15.6GiB
1784417106620,unidb-fair-bench-bench-1,57.77%,203.8MiB / 15.6GiB
1784417106620,unidb-fair-bench-postgres-1,0.00%,25.75MiB / 15.6GiB
1784417109608,unidb-fair-bench-bench-1,67.17%,205MiB / 15.6GiB
1784417109608,unidb-fair-bench-postgres-1,0.00%,25.74MiB / 15.6GiB
1784417112698,unidb-fair-bench-bench-1,66.56%,205.8MiB / 15.6GiB
1784417112698,unidb-fair-bench-postgres-1,1.69%,26.14MiB / 15.6GiB
1784417115797,unidb-fair-bench-bench-1,72.61%,207.3MiB / 15.6GiB
1784417115797,unidb-fair-bench-postgres-1,1.77%,25.75MiB / 15.6GiB
1784417118799,unidb-fair-bench-bench-1,71.24%,208.1MiB / 15.6GiB
1784417118799,unidb-fair-bench-postgres-1,1.64%,25.86MiB / 15.6GiB
1784417121894,unidb-fair-bench-bench-1,75.85%,209.8MiB / 15.6GiB
1784417121894,unidb-fair-bench-postgres-1,0.00%,25.74MiB / 15.6GiB
1784417124986,unidb-fair-bench-bench-1,63.91%,210.9MiB / 15.6GiB
1784417124986,unidb-fair-bench-postgres-1,1.68%,25.82MiB / 15.6GiB
1784417128096,unidb-fair-bench-bench-1,72.39%,212MiB / 15.6GiB
1784417128096,unidb-fair-bench-postgres-1,0.00%,25.84MiB / 15.6GiB
1784417131203,unidb-fair-bench-bench-1,54.32%,212.6MiB / 15.6GiB
1784417131203,unidb-fair-bench-postgres-1,0.00%,25.74MiB / 15.6GiB
1784417134319,unidb-fair-bench-bench-1,39.50%,213.6MiB / 15.6GiB
1784417134319,unidb-fair-bench-postgres-1,0.00%,25.99MiB / 15.6GiB
1784417137425,unidb-fair-bench-bench-1,38.00%,214MiB / 15.6GiB
1784417137425,unidb-fair-bench-postgres-1,0.00%,25.76MiB / 15.6GiB
1784417140441,unidb-fair-bench-bench-1,34.60%,214.5MiB / 15.6GiB
1784417140441,unidb-fair-bench-postgres-1,0.00%,25.85MiB / 15.6GiB
1784417143551,unidb-fair-bench-bench-1,52.51%,215.7MiB / 15.6GiB
1784417143551,unidb-fair-bench-postgres-1,1.80%,26.01MiB / 15.6GiB
1784417146675,unidb-fair-bench-bench-1,37.49%,216.8MiB / 15.6GiB
1784417146675,unidb-fair-bench-postgres-1,1.75%,25.87MiB / 15.6GiB
1784417149688,unidb-fair-bench-bench-1,16.13%,216.8MiB / 15.6GiB
1784417149688,unidb-fair-bench-postgres-1,0.00%,26.79MiB / 15.6GiB
1784417152811,unidb-fair-bench-bench-1,63.25%,218.1MiB / 15.6GiB
1784417152811,unidb-fair-bench-postgres-1,0.00%,25.83MiB / 15.6GiB
1784417155908,unidb-fair-bench-bench-1,44.40%,218.5MiB / 15.6GiB
1784417155908,unidb-fair-bench-postgres-1,0.01%,25.88MiB / 15.6GiB
1784417158923,unidb-fair-bench-bench-1,59.46%,219.4MiB / 15.6GiB
1784417158923,unidb-fair-bench-postgres-1,0.00%,25.81MiB / 15.6GiB
1784417162027,unidb-fair-bench-bench-1,46.41%,219.8MiB / 15.6GiB
1784417162027,unidb-fair-bench-postgres-1,0.00%,26.28MiB / 15.6GiB
1784417165183,unidb-fair-bench-bench-1,6.31%,220.5MiB / 15.6GiB
1784417165183,unidb-fair-bench-postgres-1,0.00%,25.75MiB / 15.6GiB
1784417168286,unidb-fair-bench-bench-1,60.60%,221.3MiB / 15.6GiB
1784417168286,unidb-fair-bench-postgres-1,0.00%,26.44MiB / 15.6GiB
1784417171390,unidb-fair-bench-bench-1,60.30%,222MiB / 15.6GiB
1784417171390,unidb-fair-bench-postgres-1,0.00%,25.87MiB / 15.6GiB
1784417173486,unidb-fair-bench-bench-1,35.46%,222.7MiB / 15.6GiB
1784417173486,unidb-fair-bench-postgres-1,0.26%,27.24MiB / 15.6GiB
1784417176588,unidb-fair-bench-bench-1,19.76%,223.2MiB / 15.6GiB
1784417176588,unidb-fair-bench-postgres-1,0.00%,25.74MiB / 15.6GiB
